瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),利汲(cm)
192,柳林,2017-01-01 00:00,-2.4,,85,
192,柳林,2017-01-01 01:00,-3,,86,
192,柳林,2017-01-01 02:00,-3.1,,87,
192,柳林,2017-01-01 03:00,-3.5,,88,
192,柳林,2017-01-01 04:00,-3.6,,88,
192,柳林,2017-01-01 05:00,-4.1,,89,
192,柳林,2017-01-01 06:00,-4.3,,89,
192,柳林,2017-01-01 07:00,-4.4,,89,
192,柳林,2017-01-01 08:00,-4,,89,
192,柳林,2017-01-01 09:00,-1.9,,89,
192,柳林,2017-01-01 10:00,1.4,,88,
192,柳林,2017-01-01 11:00,4.8,,69,
192,柳林,2017-01-01 12:00,8,,47,
192,柳林,2017-01-01 13:00,9.6,,41,
192,柳林,2017-01-01 14:00,10.7,,35,
192,柳林,2017-01-01 15:00,10.8,,37,
192,柳林,2017-01-01 16:00,10.4,,37,
192,柳林,2017-01-01 17:00,8,,48,
192,柳林,2017-01-01 18:00,4.5,,60,
192,柳林,2017-01-01 19:00,2.6,,71,
192,柳林,2017-01-01 20:00,1.3,,76,
192,柳林,2017-01-01 21:00,.2,,79,
192,柳林,2017-01-01 22:00,-.4,,82,
192,柳林,2017-01-01 23:00,-.6,,85,
192,柳林,2017-01-02 00:00,-1,,86,
192,柳林,2017-01-02 01:00,-1.7,,87,
192,柳林,2017-01-02 02:00,-.8,,88,
192,柳林,2017-01-02 03:00,-.3,,88,
192,柳林,2017-01-02 04:00,.3,,87,
192,柳林,2017-01-02 05:00,.7,,86,
192,柳林,2017-01-02 06:00,.5,,85,
192,柳林,2017-01-02 07:00,0,,86,
192,柳林,2017-01-02 08:00,-.7,,87,
192,柳林,2017-01-02 09:00,1.6,,88,
192,柳林,2017-01-02 10:00,4.5,,79,
192,柳林,2017-01-02 11:00,8.9,,59,
192,柳林,2017-01-02 12:00,10.3,,49,
192,柳林,2017-01-02 13:00,12.2,,42,
192,柳林,2017-01-02 14:00,13.3,,38,
192,柳林,2017-01-02 15:00,12.9,,39,
192,柳林,2017-01-02 16:00,12.9,,40,
192,柳林,2017-01-02 17:00,11.4,,50,
192,柳林,2017-01-02 18:00,8.4,,64,
192,柳林,2017-01-02 19:00,5.6,,72,
192,柳林,2017-01-02 20:00,3.7,,78,
192,柳林,2017-01-02 21:00,2,,82,
192,柳林,2017-01-02 22:00,1.3,,85,
192,柳林,2017-01-02 23:00,.5,,86,
192,柳林,2017-01-03 00:00,-.1,,87,
192,柳林,2017-01-03 01:00,-.9,,88,
192,柳林,2017-01-03 02:00,-1.4,,89,
192,柳林,2017-01-03 03:00,-1.8,,89,
192,柳林,2017-01-03 04:00,-2,,90,
192,柳林,2017-01-03 05:00,-2.3,,90,
192,柳林,2017-01-03 06:00,-1.5,,90,
192,柳林,2017-01-03 07:00,-1,,91,
192,柳林,2017-01-03 08:00,-1.5,,91,
192,柳林,2017-01-03 09:00,-.8,,91,
192,柳林,2017-01-03 10:00,1.1,,91,
192,柳林,2017-01-03 11:00,5.3,,92,
192,柳林,2017-01-03 12:00,8.2,,38,
192,柳林,2017-01-03 13:00,9.5,,30,
192,柳林,2017-01-03 14:00,11.1,,30,
192,柳林,2017-01-03 15:00,11.3,,28,
192,柳林,2017-01-03 16:00,11.7,,27,
192,柳林,2017-01-03 17:00,9.6,,35,
192,柳林,2017-01-03 18:00,6.3,,50,
192,柳林,2017-01-03 19:00,3.1,,64,
192,柳林,2017-01-03 20:00,1.3,,73,
192,柳林,2017-01-03 21:00,.2,,77,
192,柳林,2017-01-03 22:00,-.8,,79,
192,柳林,2017-01-03 23:00,-1.3,,82,
192,柳林,2017-01-04 00:00,-2.2,,84,
192,柳林,2017-01-04 01:00,-2.5,,85,
192,柳林,2017-01-04 02:00,-3.1,,86,
192,柳林,2017-01-04 03:00,-3.3,,87,
192,柳林,2017-01-04 04:00,-3.7,,88,
192,柳林,2017-01-04 05:00,-4.2,,88,
192,柳林,2017-01-04 06:00,-4.1,,88,
192,柳林,2017-01-04 07:00,-3.9,,88,
192,柳林,2017-01-04 08:00,-3.6,,88,
192,柳林,2017-01-04 09:00,-2.1,,88,
192,柳林,2017-01-04 10:00,1.1,,84,
192,柳林,2017-01-04 11:00,3.8,,72,
192,柳林,2017-01-04 12:00,7.7,,48,
192,柳林,2017-01-04 13:00,9.4,,42,
192,柳林,2017-01-04 14:00,10.9,,39,
192,柳林,2017-01-04 15:00,11.2,,38,
192,柳林,2017-01-04 16:00,11.1,,38,
192,柳林,2017-01-04 17:00,9.9,,47,
192,柳林,2017-01-04 18:00,5.9,,60,
192,柳林,2017-01-04 19:00,3.7,,71,
192,柳林,2017-01-04 20:00,1.8,,76,
192,柳林,2017-01-04 21:00,.7,,80,
192,柳林,2017-01-04 22:00,-.1,,83,
192,柳林,2017-01-04 23:00,-.7,,85,
192,柳林,2017-01-05 00:00,-1.5,,86,
192,柳林,2017-01-05 01:00,-1.9,,87,
192,柳林,2017-01-05 02:00,-2.3,,88,
192,柳林,2017-01-05 03:00,-2.5,,88,
192,柳林,2017-01-05 04:00,-2.4,,89,
192,柳林,2017-01-05 05:00,-2.4,,89,
192,柳林,2017-01-05 06:00,-2,,90,
192,柳林,2017-01-05 07:00,-1.8,,89,
192,柳林,2017-01-05 08:00,-1.6,,89,
192,柳林,2017-01-05 09:00,-.7,,89,
192,柳林,2017-01-05 10:00,4,,83,
192,柳林,2017-01-05 11:00,6.8,,52,
192,柳林,2017-01-05 12:00,9.2,,44,
192,柳林,2017-01-05 13:00,9.7,,45,
192,柳林,2017-01-05 14:00,10,,50,
192,柳林,2017-01-05 15:00,10.1,,50,
192,柳林,2017-01-05 16:00,9.8,,52,
192,柳林,2017-01-05 17:00,9.1,,53,
192,柳林,2017-01-05 18:00,8.3,,58,
192,柳林,2017-01-05 19:00,7.9,,61,
192,柳林,2017-01-05 20:00,7.6,,63,
192,柳林,2017-01-05 21:00,7.1,,63,
192,柳林,2017-01-05 22:00,6.9,,63,
192,柳林,2017-01-05 23:00,6.7,,63,
192,柳林,2017-01-06 00:00,6.3,,63,
192,柳林,2017-01-06 01:00,6.1,,64,
192,柳林,2017-01-06 02:00,6,,64,
192,柳林,2017-01-06 03:00,5.5,,66,
192,柳林,2017-01-06 04:00,5.6,,65,
192,柳林,2017-01-06 05:00,5.4,,66,
192,柳林,2017-01-06 06:00,5.2,,66,
192,柳林,2017-01-06 07:00,5.1,,65,
192,柳林,2017-01-06 08:00,4.6,,67,
192,柳林,2017-01-06 09:00,5.5,,64,
192,柳林,2017-01-06 10:00,7.5,,55,
192,柳林,2017-01-06 11:00,8.4,,49,
192,柳林,2017-01-06 12:00,9.2,,42,
192,柳林,2017-01-06 13:00,9.7,,40,
192,柳林,2017-01-06 14:00,10.2,,39,
192,柳林,2017-01-06 15:00,11,,37,
192,柳林,2017-01-06 16:00,10.5,,40,
192,柳林,2017-01-06 17:00,9,,45,
192,柳林,2017-01-06 18:00,7.7,,50,
192,柳林,2017-01-06 19:00,4.6,,61,
192,柳林,2017-01-06 20:00,2.9,,69,
192,柳林,2017-01-06 21:00,1.7,,75,
192,柳林,2017-01-06 22:00,.6,,79,
192,柳林,2017-01-06 23:00,-.2,,81,
192,柳林,2017-01-07 00:00,-.5,,84,
192,柳林,2017-01-07 01:00,-1.1,,86,
192,柳林,2017-01-07 02:00,-1.8,,87,
192,柳林,2017-01-07 03:00,-2.1,,88,
192,柳林,2017-01-07 04:00,-2.4,,89,
192,柳林,2017-01-07 05:00,-2.7,,89,
192,柳林,2017-01-07 06:00,-2.9,,89,
192,柳林,2017-01-07 07:00,-2.8,,90,
192,柳林,2017-01-07 08:00,-2.6,,90,
192,柳林,2017-01-07 09:00,-.8,,90,
192,柳林,2017-01-07 10:00,2.1,,88,
192,柳林,2017-01-07 11:00,3.8,,74,
192,柳林,2017-01-07 12:00,6.9,,59,
192,柳林,2017-01-07 13:00,7.9,,53,
192,柳林,2017-01-07 14:00,8.8,,50,
192,柳林,2017-01-07 15:00,8.9,,52,
192,柳林,2017-01-07 16:00,9,,52,
192,柳林,2017-01-07 17:00,8.7,,52,
192,柳林,2017-01-07 18:00,8.1,,54,
192,柳林,2017-01-07 19:00,7.5,,57,
192,柳林,2017-01-07 20:00,6.7,,62,
192,柳林,2017-01-07 21:00,7,,58,
192,柳林,2017-01-07 22:00,6.4,,63,
192,柳林,2017-01-07 23:00,5.8,,68,
192,柳林,2017-01-08 00:00,5.3,0,69,
192,柳林,2017-01-08 01:00,4.8,,79,
192,柳林,2017-01-08 02:00,4.8,,84,
192,柳林,2017-01-08 03:00,4.7,2.4,85,
192,柳林,2017-01-08 04:00,4.7,,86,
192,柳林,2017-01-08 05:00,4.5,,87,
192,柳林,2017-01-08 06:00,4.6,.5,87,
192,柳林,2017-01-08 07:00,4.7,,90,
192,柳林,2017-01-08 08:00,4.6,,90,
192,柳林,2017-01-08 09:00,5.4,,90,
192,柳林,2017-01-08 10:00,8.2,,90,
192,柳林,2017-01-08 11:00,9.7,,64,
192,柳林,2017-01-08 12:00,10.3,,61,
192,柳林,2017-01-08 13:00,11.2,,55,
192,柳林,2017-01-08 14:00,11.1,,55,
192,柳林,2017-01-08 15:00,12.3,,50,
192,柳林,2017-01-08 16:00,12.6,,48,
192,柳林,2017-01-08 17:00,11.4,,52,
192,柳林,2017-01-08 18:00,7.9,,67,
192,柳林,2017-01-08 19:00,7.3,,75,
192,柳林,2017-01-08 20:00,6.3,,79,
192,柳林,2017-01-08 21:00,5.5,,84,
192,柳林,2017-01-08 22:00,5.1,,84,
192,柳林,2017-01-08 23:00,4.7,,86,
192,柳林,2017-01-09 00:00,4.1,,87,
192,柳林,2017-01-09 01:00,3.7,,88,
192,柳林,2017-01-09 02:00,2.9,,89,
192,柳林,2017-01-09 03:00,3.3,,89,
192,柳林,2017-01-09 04:00,2.8,,90,
192,柳林,2017-01-09 05:00,2.8,,90,
192,柳林,2017-01-09 06:00,4,,90,
192,柳林,2017-01-09 07:00,6.2,,78,
192,柳林,2017-01-09 08:00,5.6,,54,
192,柳林,2017-01-09 09:00,6,,52,
192,柳林,2017-01-09 10:00,6.6,,48,
192,柳林,2017-01-09 11:00,8.1,,42,
192,柳林,2017-01-09 12:00,8.8,,38,
192,柳林,2017-01-09 13:00,9,,33,
192,柳林,2017-01-09 14:00,9.1,,33,
192,柳林,2017-01-09 15:00,9.2,,30,
192,柳林,2017-01-09 16:00,9,,29,
192,柳林,2017-01-09 17:00,8.2,,28,
192,柳林,2017-01-09 18:00,6.3,,34,
192,柳林,2017-01-09 19:00,6,,37,
192,柳林,2017-01-09 20:00,4.5,,43,
192,柳林,2017-01-09 21:00,2.1,,53,
192,柳林,2017-01-09 22:00,-.1,,64,
192,柳林,2017-01-09 23:00,-1.3,,70,
192,柳林,2017-01-10 00:00,-2.1,,73,
192,柳林,2017-01-10 01:00,-2.8,,76,
192,柳林,2017-01-10 02:00,-3.3,,79,
192,柳林,2017-01-10 03:00,-3.7,,81,
192,柳林,2017-01-10 04:00,-4.2,,82,
192,柳林,2017-01-10 05:00,-4.7,,83,
192,柳林,2017-01-10 06:00,-4.9,,83,
192,柳林,2017-01-10 07:00,-4.8,,84,
192,柳林,2017-01-10 08:00,-5,,86,
192,柳林,2017-01-10 09:00,-.7,,85,
192,柳林,2017-01-10 10:00,2.4,,53,
192,柳林,2017-01-10 11:00,4.4,,37,
192,柳林,2017-01-10 12:00,5.8,,33,
192,柳林,2017-01-10 13:00,6.6,,30,
192,柳林,2017-01-10 14:00,6.6,,24,
192,柳林,2017-01-10 15:00,7.5,,25,
192,柳林,2017-01-10 16:00,6.7,,25,
192,柳林,2017-01-10 17:00,5.1,,31,
192,柳林,2017-01-10 18:00,3.9,,37,
192,柳林,2017-01-10 19:00,2.8,,41,
192,柳林,2017-01-10 20:00,2.1,,42,
192,柳林,2017-01-10 21:00,0,,53,
192,柳林,2017-01-10 22:00,-.9,,58,
192,柳林,2017-01-10 23:00,-1.2,,57,
192,柳林,2017-01-11 00:00,-1.3,,49,
192,柳林,2017-01-11 01:00,.1,,29,
192,柳林,2017-01-11 02:00,-.6,,30,
192,柳林,2017-01-11 03:00,-1.5,,31,
192,柳林,2017-01-11 04:00,-1.3,,26,
192,柳林,2017-01-11 05:00,-2.3,,30,
192,柳林,2017-01-11 06:00,-2.1,,27,
192,柳林,2017-01-11 07:00,-2.4,,26,
192,柳林,2017-01-11 08:00,-3,,25,
192,柳林,2017-01-11 09:00,-2.3,,22,
192,柳林,2017-01-11 10:00,-1.3,,20,
192,柳林,2017-01-11 11:00,.2,,15,
192,柳林,2017-01-11 12:00,1,,17,
192,柳林,2017-01-11 13:00,3.1,,18,
192,柳林,2017-01-11 14:00,4,,18,
192,柳林,2017-01-11 15:00,4.7,,16,
192,柳林,2017-01-11 16:00,4.9,,22,
192,柳林,2017-01-11 17:00,3.5,,29,
192,柳林,2017-01-11 18:00,1.8,,35,
192,柳林,2017-01-11 19:00,.1,,46,
192,柳林,2017-01-11 20:00,-1.4,,54,
192,柳林,2017-01-11 21:00,-1.7,,58,
192,柳林,2017-01-11 22:00,-.2,,51,
192,柳林,2017-01-11 23:00,-.5,,56,
192,柳林,2017-01-12 00:00,-.8,,58,
192,柳林,2017-01-12 01:00,-.6,,50,
192,柳林,2017-01-12 02:00,-1.4,,53,
192,柳林,2017-01-12 03:00,-3.2,,62,
192,柳林,2017-01-12 04:00,-3.8,,68,
192,柳林,2017-01-12 05:00,-3.2,,67,
192,柳林,2017-01-12 06:00,-4.3,,72,
192,柳林,2017-01-12 07:00,-4.5,,72,
192,柳林,2017-01-12 08:00,-4.2,,74,
192,柳林,2017-01-12 09:00,-2.6,,72,
192,柳林,2017-01-12 10:00,.8,,65,
192,柳林,2017-01-12 11:00,5.3,,48,
192,柳林,2017-01-12 12:00,6.2,,46,
192,柳林,2017-01-12 13:00,7.1,,41,
192,柳林,2017-01-12 14:00,8.5,,34,
192,柳林,2017-01-12 15:00,8.3,,31,
192,柳林,2017-01-12 16:00,7.4,,33,
192,柳林,2017-01-12 17:00,6.6,,35,
192,柳林,2017-01-12 18:00,3.7,,44,
192,柳林,2017-01-12 19:00,2.7,,53,
192,柳林,2017-01-12 20:00,.7,,61,
192,柳林,2017-01-12 21:00,-.5,,64,
192,柳林,2017-01-12 22:00,2.6,,44,
192,柳林,2017-01-12 23:00,1.2,,43,
192,柳林,2017-01-13 00:00,-1,,51,
192,柳林,2017-01-13 01:00,-1.4,,49,
192,柳林,2017-01-13 02:00,-2.2,,50,
192,柳林,2017-01-13 03:00,-3.4,,55,
192,柳林,2017-01-13 04:00,-4.3,,60,
192,柳林,2017-01-13 05:00,-3.3,,56,
192,柳林,2017-01-13 06:00,-4.1,,52,
192,柳林,2017-01-13 07:00,-4.3,,53,
192,柳林,2017-01-13 08:00,-4.9,,57,
192,柳林,2017-01-13 09:00,-1,,45,
192,柳林,2017-01-13 10:00,1.2,,35,
192,柳林,2017-01-13 11:00,2.9,,36,
192,柳林,2017-01-13 12:00,4.9,,38,
192,柳林,2017-01-13 13:00,5.2,,39,
192,柳林,2017-01-13 14:00,3.4,,54,
192,柳林,2017-01-13 15:00,5.6,,43,
192,柳林,2017-01-13 16:00,5,,45,
192,柳林,2017-01-13 17:00,4.2,,49,
192,柳林,2017-01-13 18:00,2.2,,35,
192,柳林,2017-01-13 19:00,1.2,,31,
192,柳林,2017-01-13 20:00,.3,,36,
192,柳林,2017-01-13 21:00,-1.4,,39,
192,柳林,2017-01-13 22:00,-2.6,,44,
192,柳林,2017-01-13 23:00,-2.8,,48,
192,柳林,2017-01-14 00:00,-4.1,,52,
192,柳林,2017-01-14 01:00,-2.3,,44,
192,柳林,2017-01-14 02:00,-4.1,,54,
192,柳林,2017-01-14 03:00,-5.2,,59,
192,柳林,2017-01-14 04:00,-5.1,,63,
192,柳林,2017-01-14 05:00,-6.2,,66,
192,柳林,2017-01-14 06:00,-4.4,,56,
192,柳林,2017-01-14 07:00,-4.5,,54,
192,柳林,2017-01-14 08:00,-4.4,,52,
192,柳林,2017-01-14 09:00,-2.3,,39,
192,柳林,2017-01-14 10:00,-1.8,,31,
192,柳林,2017-01-14 11:00,-1,,29,
192,柳林,2017-01-14 12:00,.2,,22,
192,柳林,2017-01-14 13:00,.9,,20,
192,柳林,2017-01-14 14:00,.7,,22,
192,柳林,2017-01-14 15:00,.8,,20,
192,柳林,2017-01-14 16:00,.8,,18,
192,柳林,2017-01-14 17:00,-.6,,16,
192,柳林,2017-01-14 18:00,-1.7,,18,
192,柳林,2017-01-14 19:00,-2.4,,19,
192,柳林,2017-01-14 20:00,-3.4,,22,
192,柳林,2017-01-14 21:00,-4.3,,24,
192,柳林,2017-01-14 22:00,-4.9,,30,
192,柳林,2017-01-14 23:00,-5.4,,33,
192,柳林,2017-01-15 00:00,-5.8,,36,
