,지점,지점명,일시,기온(°C),강수량(mm),습도(%),적설(cm),일자,시간,연,월,일
0,192,진주,2016-02-01 00:00,0.5,,44.0,,2016-02-01,00:00,2016,02,01
1,192,진주,2016-02-01 01:00,-0.4,,49.0,,2016-02-01,01:00,2016,02,01
2,192,진주,2016-02-01 02:00,-1.7,,61.0,,2016-02-01,02:00,2016,02,01
3,192,진주,2016-02-01 03:00,-2.1,,65.0,,2016-02-01,03:00,2016,02,01
4,192,진주,2016-02-01 04:00,-2.5,,66.0,,2016-02-01,04:00,2016,02,01
5,192,진주,2016-02-01 05:00,-3.1,,68.0,,2016-02-01,05:00,2016,02,01
6,192,진주,2016-02-01 06:00,-3.3,,70.0,,2016-02-01,06:00,2016,02,01
7,192,진주,2016-02-01 07:00,-3.8,,74.0,,2016-02-01,07:00,2016,02,01
8,192,진주,2016-02-01 08:00,-3.7,,72.0,,2016-02-01,08:00,2016,02,01
9,192,진주,2016-02-01 09:00,-1.3,,46.0,,2016-02-01,09:00,2016,02,01
10,192,진주,2016-02-01 10:00,0.3,,35.0,,2016-02-01,10:00,2016,02,01
11,192,진주,2016-02-01 11:00,1.8,,27.0,,2016-02-01,11:00,2016,02,01
12,192,진주,2016-02-01 12:00,3.0,,24.0,,2016-02-01,12:00,2016,02,01
13,192,진주,2016-02-01 13:00,4.2,,22.0,,2016-02-01,13:00,2016,02,01
14,192,진주,2016-02-01 14:00,4.6,,20.0,,2016-02-01,14:00,2016,02,01
15,192,진주,2016-02-01 15:00,4.2,,20.0,,2016-02-01,15:00,2016,02,01
16,192,진주,2016-02-01 16:00,3.7,,22.0,,2016-02-01,16:00,2016,02,01
17,192,진주,2016-02-01 17:00,3.0,,25.0,,2016-02-01,17:00,2016,02,01
18,192,진주,2016-02-01 18:00,0.9,,31.0,,2016-02-01,18:00,2016,02,01
19,192,진주,2016-02-01 19:00,-0.7,,39.0,,2016-02-01,19:00,2016,02,01
20,192,진주,2016-02-01 20:00,-1.2,,41.0,,2016-02-01,20:00,2016,02,01
21,192,진주,2016-02-01 21:00,-2.0,,43.0,,2016-02-01,21:00,2016,02,01
22,192,진주,2016-02-01 22:00,-2.8,,48.0,,2016-02-01,22:00,2016,02,01
23,192,진주,2016-02-01 23:00,-2.9,,47.0,,2016-02-01,23:00,2016,02,01
24,192,진주,2016-02-02 00:00,-4.1,,52.0,,2016-02-02,00:00,2016,02,02
25,192,진주,2016-02-02 01:00,-4.9,,57.0,,2016-02-02,01:00,2016,02,02
26,192,진주,2016-02-02 02:00,-5.9,,61.0,,2016-02-02,02:00,2016,02,02
27,192,진주,2016-02-02 03:00,-6.6,,66.0,,2016-02-02,03:00,2016,02,02
28,192,진주,2016-02-02 04:00,-7.4,,70.0,,2016-02-02,04:00,2016,02,02
29,192,진주,2016-02-02 05:00,-8.3,,73.0,,2016-02-02,05:00,2016,02,02
30,192,진주,2016-02-02 06:00,-8.4,,77.0,,2016-02-02,06:00,2016,02,02
31,192,진주,2016-02-02 07:00,-8.8,,78.0,,2016-02-02,07:00,2016,02,02
32,192,진주,2016-02-02 08:00,-8.4,,80.0,,2016-02-02,08:00,2016,02,02
33,192,진주,2016-02-02 09:00,-3.9,,46.0,,2016-02-02,09:00,2016,02,02
34,192,진주,2016-02-02 10:00,-2.2,,38.0,,2016-02-02,10:00,2016,02,02
35,192,진주,2016-02-02 11:00,0.3,,29.0,,2016-02-02,11:00,2016,02,02
36,192,진주,2016-02-02 12:00,1.7,,24.0,,2016-02-02,12:00,2016,02,02
37,192,진주,2016-02-02 13:00,3.7,,18.0,,2016-02-02,13:00,2016,02,02
38,192,진주,2016-02-02 14:00,4.4,,15.0,,2016-02-02,14:00,2016,02,02
39,192,진주,2016-02-02 15:00,5.5,,14.0,,2016-02-02,15:00,2016,02,02
40,192,진주,2016-02-02 16:00,5.8,,14.0,,2016-02-02,16:00,2016,02,02
41,192,진주,2016-02-02 17:00,5.2,,19.0,,2016-02-02,17:00,2016,02,02
42,192,진주,2016-02-02 18:00,2.4,,28.0,,2016-02-02,18:00,2016,02,02
43,192,진주,2016-02-02 19:00,-0.7,,40.0,,2016-02-02,19:00,2016,02,02
44,192,진주,2016-02-02 20:00,-2.4,,51.0,,2016-02-02,20:00,2016,02,02
45,192,진주,2016-02-02 21:00,-3.2,,55.0,,2016-02-02,21:00,2016,02,02
46,192,진주,2016-02-02 22:00,-4.2,,61.0,,2016-02-02,22:00,2016,02,02
47,192,진주,2016-02-02 23:00,-5.3,,66.0,,2016-02-02,23:00,2016,02,02
48,192,진주,2016-02-03 00:00,-5.7,,70.0,,2016-02-03,00:00,2016,02,03
49,192,진주,2016-02-03 01:00,-6.3,,72.0,,2016-02-03,01:00,2016,02,03
50,192,진주,2016-02-03 02:00,-7.0,,75.0,,2016-02-03,02:00,2016,02,03
51,192,진주,2016-02-03 03:00,-7.5,,77.0,,2016-02-03,03:00,2016,02,03
52,192,진주,2016-02-03 04:00,-7.9,,79.0,,2016-02-03,04:00,2016,02,03
53,192,진주,2016-02-03 05:00,-8.5,,80.0,,2016-02-03,05:00,2016,02,03
54,192,진주,2016-02-03 06:00,-8.7,,81.0,,2016-02-03,06:00,2016,02,03
55,192,진주,2016-02-03 07:00,-9.1,,81.0,,2016-02-03,07:00,2016,02,03
56,192,진주,2016-02-03 08:00,-8.5,,82.0,,2016-02-03,08:00,2016,02,03
57,192,진주,2016-02-03 09:00,-3.0,,68.0,,2016-02-03,09:00,2016,02,03
58,192,진주,2016-02-03 10:00,-1.5,,44.0,,2016-02-03,10:00,2016,02,03
59,192,진주,2016-02-03 11:00,1.3,,34.0,,2016-02-03,11:00,2016,02,03
60,192,진주,2016-02-03 12:00,3.2,,31.0,,2016-02-03,12:00,2016,02,03
61,192,진주,2016-02-03 13:00,4.8,,27.0,,2016-02-03,13:00,2016,02,03
62,192,진주,2016-02-03 14:00,5.9,,24.0,,2016-02-03,14:00,2016,02,03
63,192,진주,2016-02-03 15:00,6.8,,22.0,,2016-02-03,15:00,2016,02,03
64,192,진주,2016-02-03 16:00,7.7,,21.0,,2016-02-03,16:00,2016,02,03
65,192,진주,2016-02-03 17:00,5.8,,26.0,,2016-02-03,17:00,2016,02,03
66,192,진주,2016-02-03 18:00,3.0,,39.0,,2016-02-03,18:00,2016,02,03
67,192,진주,2016-02-03 19:00,0.3,,50.0,,2016-02-03,19:00,2016,02,03
68,192,진주,2016-02-03 20:00,-1.5,,61.0,,2016-02-03,20:00,2016,02,03
69,192,진주,2016-02-03 21:00,-2.3,,64.0,,2016-02-03,21:00,2016,02,03
70,192,진주,2016-02-03 22:00,-3.4,,69.0,,2016-02-03,22:00,2016,02,03
71,192,진주,2016-02-03 23:00,-4.5,,71.0,,2016-02-03,23:00,2016,02,03
72,192,진주,2016-02-04 00:00,-4.8,,75.0,,2016-02-04,00:00,2016,02,04
73,192,진주,2016-02-04 01:00,-5.3,,77.0,,2016-02-04,01:00,2016,02,04
74,192,진주,2016-02-04 02:00,-5.7,,80.0,,2016-02-04,02:00,2016,02,04
75,192,진주,2016-02-04 03:00,-6.5,,81.0,,2016-02-04,03:00,2016,02,04
76,192,진주,2016-02-04 04:00,-7.0,,82.0,,2016-02-04,04:00,2016,02,04
77,192,진주,2016-02-04 05:00,-6.5,,84.0,,2016-02-04,05:00,2016,02,04
78,192,진주,2016-02-04 06:00,-7.1,,84.0,,2016-02-04,06:00,2016,02,04
79,192,진주,2016-02-04 07:00,-7.7,,84.0,,2016-02-04,07:00,2016,02,04
80,192,진주,2016-02-04 08:00,-7.1,,84.0,,2016-02-04,08:00,2016,02,04
81,192,진주,2016-02-04 09:00,-3.0,,77.0,,2016-02-04,09:00,2016,02,04
82,192,진주,2016-02-04 10:00,-0.7,,62.0,,2016-02-04,10:00,2016,02,04
83,192,진주,2016-02-04 11:00,1.2,,43.0,,2016-02-04,11:00,2016,02,04
84,192,진주,2016-02-04 12:00,3.7,,30.0,,2016-02-04,12:00,2016,02,04
85,192,진주,2016-02-04 13:00,4.5,,30.0,,2016-02-04,13:00,2016,02,04
86,192,진주,2016-02-04 14:00,6.2,,27.0,,2016-02-04,14:00,2016,02,04
87,192,진주,2016-02-04 15:00,7.2,,23.0,,2016-02-04,15:00,2016,02,04
88,192,진주,2016-02-04 16:00,7.5,,21.0,,2016-02-04,16:00,2016,02,04
89,192,진주,2016-02-04 17:00,6.6,,22.0,,2016-02-04,17:00,2016,02,04
90,192,진주,2016-02-04 18:00,4.0,,35.0,,2016-02-04,18:00,2016,02,04
91,192,진주,2016-02-04 19:00,1.5,,48.0,,2016-02-04,19:00,2016,02,04
92,192,진주,2016-02-04 20:00,1.1,,53.0,,2016-02-04,20:00,2016,02,04
93,192,진주,2016-02-04 21:00,-1.5,,58.0,,2016-02-04,21:00,2016,02,04
94,192,진주,2016-02-04 22:00,3.3,,35.0,,2016-02-04,22:00,2016,02,04
95,192,진주,2016-02-04 23:00,2.9,,33.0,,2016-02-04,23:00,2016,02,04
96,192,진주,2016-02-05 00:00,1.2,,39.0,,2016-02-05,00:00,2016,02,05
97,192,진주,2016-02-05 01:00,-0.7,,55.0,,2016-02-05,01:00,2016,02,05
98,192,진주,2016-02-05 02:00,-2.1,,66.0,,2016-02-05,02:00,2016,02,05
99,192,진주,2016-02-05 03:00,-3.6,,74.0,,2016-02-05,03:00,2016,02,05
100,192,진주,2016-02-05 04:00,-4.6,,77.0,,2016-02-05,04:00,2016,02,05
101,192,진주,2016-02-05 05:00,-4.7,,77.0,,2016-02-05,05:00,2016,02,05
102,192,진주,2016-02-05 06:00,-5.5,,80.0,,2016-02-05,06:00,2016,02,05
103,192,진주,2016-02-05 07:00,-6.2,,81.0,,2016-02-05,07:00,2016,02,05
104,192,진주,2016-02-05 08:00,-5.7,,81.0,,2016-02-05,08:00,2016,02,05
105,192,진주,2016-02-05 09:00,-1.8,,69.0,,2016-02-05,09:00,2016,02,05
106,192,진주,2016-02-05 10:00,1.9,,44.0,,2016-02-05,10:00,2016,02,05
107,192,진주,2016-02-05 11:00,4.7,,21.0,,2016-02-05,11:00,2016,02,05
108,192,진주,2016-02-05 12:00,6.3,,17.0,,2016-02-05,12:00,2016,02,05
109,192,진주,2016-02-05 13:00,7.7,,12.0,,2016-02-05,13:00,2016,02,05
110,192,진주,2016-02-05 14:00,8.8,,12.0,,2016-02-05,14:00,2016,02,05
111,192,진주,2016-02-05 15:00,9.6,,11.0,,2016-02-05,15:00,2016,02,05
