일시,확진자수
2020-10-19,1
2020-11-10,1
2020-11-17,1
2020-11-18,2
2020-11-19,1
2020-11-20,1
2020-11-21,1
2020-11-24,2
2020-11-25,33
2020-11-26,27
2020-11-27,1
2020-11-28,2
2020-11-29,2
2020-11-30,1
2020-12-1,1
2020-12-10,2
2020-12-11,4
2020-12-12,6
2020-12-13,5
2020-12-14,2
2020-12-16,1
2020-12-17,3
2020-12-18,4
2020-12-19,5
2020-12-2,1
2020-12-20,2
2020-12-21,2
2020-12-22,2
2020-12-23,4
2020-12-24,3
2020-12-25,3
2020-12-26,4
2020-12-27,3
2020-12-28,3
2020-12-29,15
2020-12-30,12
2020-12-31,9
2020-12-4,1
2020-12-6,1
2020-12-7,5
2020-12-8,11
2020-12-9,4
2020-2-21,2
2020-3-28,1
2020-3-31,5
2020-4-3,1
2020-4-8,1
2020-5-21,1
2020-5-22,1
2020-8-2,1
2020-8-21,1
2020-9-4,1
2020-9-6,1
2021-1-1,13
2021-1-11,30
2021-1-12,20
2021-1-13,1
2021-1-14,5
2021-1-15,4
2021-1-16,2
2021-1-17,3
2021-1-18,1
2021-1-2,3
2021-1-20,1
2021-1-21,1
2021-1-22,9
2021-1-23,5
2021-1-24,2
2021-1-25,2
2021-1-26,7
2021-1-27,5
2021-1-29,3
2021-1-3,12
2021-1-30,2
2021-1-4,7
2021-1-5,11
2021-1-6,8
2021-1-7,11
2021-1-8,3
2021-1-9,7
2021-2-1,1
2021-2-12,1
2021-2-16,1
2021-2-17,2
2021-2-19,1
2021-2-20,2
2021-2-21,1
2021-2-5,1
2021-2-9,3
2021-3-10,6
2021-3-11,50
2021-3-12,49
2021-3-13,46
2021-3-14,24
2021-3-15,33
2021-3-16,18
2021-3-17,16
2021-3-18,23
2021-3-19,7
2021-3-2,1
2021-3-20,20
2021-3-21,13
2021-3-22,24
2021-3-23,22
2021-3-24,19
2021-3-25,19
2021-3-26,9
2021-3-27,5
2021-3-28,6
2021-3-29,5
2021-3-3,1
2021-3-30,7
2021-3-31,8
2021-3-9,2
2021-4-1,4
2021-4-10,3
2021-4-11,3
2021-4-12,7
2021-4-13,12
2021-4-14,12
2021-4-15,19
2021-4-16,9
2021-4-17,14
2021-4-18,13
2021-4-19,9
2021-4-2,10
2021-4-20,17
2021-4-21,16
2021-4-22,22
2021-4-23,17
2021-4-24,18
2021-4-25,12
2021-4-26,16
2021-4-27,27
2021-4-28,11
2021-4-29,8
2021-4-3,5
2021-4-30,13
2021-4-4,1
2021-4-5,3
2021-4-6,3
2021-4-8,2
2021-5-1,11
2021-5-10,2
2021-5-11,5
2021-5-12,7
2021-5-13,2
2021-5-14,4
2021-5-15,1
2021-5-16,2
2021-5-17,2
2021-5-18,3
2021-5-2,10
2021-5-20,5
2021-5-21,1
2021-5-22,1
2021-5-24,2
2021-5-25,1
2021-5-27,3
2021-5-28,2
2021-5-3,10
2021-5-30,1
2021-5-4,8
2021-5-5,3
2021-5-6,14
2021-5-7,8
2021-5-8,5
2021-5-9,5
2021-6-1,3
2021-6-10,3
2021-6-11,2
2021-6-17,1
2021-6-18,4
2021-6-19,1
2021-6-2,1
2021-6-20,3
2021-6-21(월),2
2021-6-22,1
2021-6-24,2
2021-6-25,6
2021-6-26,1
2021-6-28,5
2021-6-29,6
2021-6-3,3
2021-6-4,2
2021-6-6,3
2021-6-7,3
2021-6-8,2
2021-7-1,1
2021-7-10,9
2021-7-11,8
2021-7-12,6
2021-7-13,6
2021-7-14,7
2021-7-15,7
2021-7-16,9
2021-7-17,11
2021-7-18,9
2021-7-19,3
2021-7-2,2
2021-7-20,4
2021-7-21,7
2021-7-22,3
2021-7-23,1
2021-7-24,6
2021-7-25,4
2021-7-27,1
2021-7-29,3
2021-7-3,4
2021-7-30,1
2021-7-31,6
2021-7-4,4
2021-7-5,2
2021-7-8,2
2021-7-9,3
2021-8-1,1
2021-8-10,7
2021-8-11,2
2021-8-12,2
2021-8-13,6
2021-8-14,7
2021-8-15,10
2021-8-16,14
2021-8-17,9
2021-8-18,7
2021-8-19,7
2021-8-2,1
2021-8-20,6
2021-8-21,6
2021-8-22,4
2021-8-23,2
2021-8-24,9
2021-8-25,8
2021-8-26,9
2021-8-27,7
2021-8-28,7
2021-8-29,9
2021-8-3,4
2021-8-30,9
2021-8-31,9
2021-8-4,1
2021-8-6,1
2021-8-7,4
2021-8-8,3
2021-8-9,2
2021-9-1,11
2021-9-10,6
2021-9-11,5
2021-9-12,2
2021-9-13,1
2021-9-14,1
2021-9-15,1
2021-9-16,2
2021-9-17,1
2021-9-2,3
2021-9-20,1
2021-9-21,2
2021-9-22,6
2021-9-24,3
2021-9-25,2
2021-9-26,7
2021-9-27,4
2021-9-28,3
2021-9-3,10
2021-9-4,8
2021-9-5,4
2021-9-6,6
2021-9-7,4
2021-9-8,7
2021-9-9,4
