일자,밥,국,메인,반찬,구분,국분류,메뉴분류
2016-02-01,밥,오징어찌개,쇠불고기,계란찜,중식,찜,육류
2016-02-02,밥,김치찌개,가자미튀김,모둠소세지구이,중식,찌개,해산물
2016-02-03,카레덮밥,팽이장국,치킨핑거,쫄면야채무침,중식,국수,조류
2016-02-04,밥,쇠고기무국,주꾸미볶음,부추전,중식,국,해산물
2016-02-05,밥,떡국,돈육씨앗강정,우엉잡채,중식,국,육류
2016-02-11,밥,시래기국,훈제오리구이,도토리묵무침,중식,국,조류
2016-02-12,밥,꽃게탕,돈육굴소스볶음,옥수수전,중식,탕,육류
2016-02-15,밥,시금치국,닭감자조림,연두부*양념장,중식,국,조류
2016-02-16,밥,쇠고기무국,탕수어,오징어숙회무침,중식,탕,해산물
2016-02-17,밥,냉이된장국,쇠고기장조림,통도라지구이,중식,국,육류
2016-02-18,낙지비빔밥,유부장국,고구마치즈구이,해초무침,중식,국,해산물
2016-02-19,밥,대구찌개,마늘간장치킨,새송이버섯볶음,중식,찌개,조류
2016-02-22,밥,쇠고기느타리국,갈치구이,호박꼬지&고사리&무나물,중식,국,해산물
2016-02-23,밥,콩나물국,돈육간장볶음,버섯잡채,중식,국,육류
2016-02-24,비빔밥,팽이장국,소세지피망볶음,맛탕,중식,탕,육류
2016-02-25,밥,북어계란국,닭갈비,새싹두부구이,중식,국,육류
2016-02-26,밥,수제비국,오징어볶음,계란찜,중식,찜,해산물
2016-02-29,밥,얼갈이된장국,제육볶음,늙은호박전,중식,국,육류
2016-03-02,밥,쇠고기미역국,주꾸미볶음,맛살계란말이,중식,국,해산물
2016-03-03,밥,근대된장국,탕수육,새송이버섯조림,중식,탕,육류
2016-03-04,밥,부대찌개,가자미튀김,메추리알조림,중식,찌개,해산물
2016-03-07,밥,콩나물국,닭갈비,모둠묵*양념장,중식,국,육류
2016-03-08,밥,차돌박이찌개,고등어김치말이,소세지구이,중식,찌개,해산물
2016-03-09,밥,북어국,돈육장조림,홍어무침,중식,국,육류
2016-03-10,밥,고추장찌개,닭데리야끼조림,해물파전,중식,찌개,조류
2016-03-11,밥,배추된장국,수제돈가스,탕평채,중식,탕,육류
