createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
2021-04-10 09:00:00.000,1765,108939,합계,合计,Total,677,99287,7887,662,15,210.11,8493,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,434,33855,서울,首尔,Seoul,201,30779,2642,198,3,347.82,8492,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,120,4300,부산,釜山,Busan,56,3566,614,56,0,126.03,8491,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,218,9063,대구,大邱,Daegu,5,8684,161,4,1,371.97,8490,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,58,5335,인천,仁川,Incheon,24,4964,313,24,0,180.47,8489,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,21,2234,광주,光州,Gwangju,1,2184,29,1,0,153.36,8488,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,16,1523,대전,大田,Daejeon,13,1266,241,13,0,103.31,8487,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,37,1258,울산,蔚山,Ulsan,25,1089,132,25,0,109.67,8486,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,1,325,세종,世宗,Sejong,4,266,58,4,0,94.94,8485,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,553,30194,경기,京畿,Gyeonggi-do,202,27308,2333,199,3,227.87,8484,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,48,2444,강원,江原,Gangwon-do,6,2248,148,6,0,158.65,8483,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,61,2317,충북,忠北,Chungcheongbuk-do,12,2094,162,10,2,144.87,8482,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,35,2763,충남,忠南,Chungcheongnam-do,15,2576,152,15,0,130.18,8481,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,57,1656,전북,全北,Jeollabuk-do,23,1368,231,23,0,91.12,8480,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,8,963,전남,全南,Jeollanam-do,7,891,64,7,0,51.64,8479,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,76,3672,경북,庆北,Gyeongsangbuk-do,26,3393,203,26,0,137.92,8478,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,17,3157,경남,庆南,Gyeongsangnam-do,46,2903,237,44,2,93.92,8477,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,1,653,제주,济州,Jeju,7,621,31,7,0,97.35,8476,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-10 09:00:00.000,4,3227,검역,隔離區,Lazaretto,4,3087,136,0,4,0.00,8475,2021년 04월 10일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,1764,108262,합계,合计,Total,671,98774,7724,644,27,208.81,8474,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,434,33654,서울,首尔,Seoul,215,30647,2573,214,1,345.75,8473,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,119,4244,부산,釜山,Busan,53,3522,603,50,3,124.39,8472,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,218,9058,대구,大邱,Daegu,18,8664,176,17,1,371.76,8471,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,58,5311,인천,仁川,Incheon,45,4939,314,39,6,179.66,8470,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,21,2233,광주,光州,Gwangju,5,2184,28,5,0,153.29,8469,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,16,1510,대전,大田,Daejeon,26,1259,235,26,0,102.43,8468,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,37,1233,울산,蔚山,Ulsan,9,1076,120,9,0,107.49,8467,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,1,321,세종,世宗,Sejong,5,251,69,5,0,93.77,8466,2021년 04월 09일 00시,2021-09-16 10:11:33.897
2021-04-09 09:00:00.000,553,29992,경기,京畿,Gyeonggi-do,203,27213,2226,197,6,226.35,8465,2021년 04월 09일 00시,2021-09-16 10:11:33.897
